,countryid,datacategoryid,datatype,name,date,value_mean,value_median
52,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-05-01T00:00:00,13.274468085106383,11.6
53,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-06-01T00:00:00,54.331250000000004,45.900000000000006
54,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-07-01T00:00:00,126.51799999999999,119.4
55,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-08-01T00:00:00,115.19333333333333,100.2
56,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-09-01T00:00:00,48.261702127659575,32.7
57,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-10-01T00:00:00,8.588888888888889,5.1
58,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-11-01T00:00:00,0.08139534883720931,0.0
59,FIPS:FR,COMP,CLDD,Cooling Degree Days,2018-12-01T00:00:00,0.0,0.0
60,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-01-01T00:00:00,0.0,0.0
61,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-02-01T00:00:00,0.0,0.0
62,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-03-01T00:00:00,0.0,0.0
63,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-04-01T00:00:00,0.274468085106383,0.0
64,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-05-01T00:00:00,1.5999999999999999,0.0
65,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-06-01T00:00:00,76.6,79.85
66,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-07-01T00:00:00,129.04347826086956,120.9
67,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-08-01T00:00:00,101.69183673469387,89.6
68,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-09-01T00:00:00,36.94130434782608,23.4
69,FIPS:FR,COMP,CLDD,Cooling Degree Days,2019-10-01T00:00:00,6.788095238095239,3.05
